"eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","target_species","finfish","sardine","shark","shrimp","tuna","others","state","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","fisher_num","sfc_gr_kwh","engine_power_hp","engine_power_kw","imputed_engine_power","engine_power_bin_hp","design_speed_kt","brand","model","fuel_type","fleet"
"2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","00040360","PERLA 1","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","20031541238","CAMARÓN",0,0,0,1,0,0,"OAXACA","SALINA CRUZ",1980,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",21.9,6900,3.27,3000,20,1,1,0,3,220,365,272.1805,FALSE,365,10.8055722873817,"CATERPILLAR","3408","Diesel","large scale"
"0203016316","TUNIPESCA SA DE CV","00046722","RAMBLER","0203016316","TUNIPESCA SA DE CV","2011278235","TIBURÓN",0,0,1,0,0,0,"BAJA CALIFORNIA","ENSENADA",1977,"ACERO","HIELO | REFRIGERACIÓN","PALANGRE","ECOSONDA | SONAR | VIDEOSONDA","COMERCIAL",14.3,4.4,2.5,0,20,1,1,0,6,220,250,186.425,FALSE,250,10.7041757419871,"DETROIT","GV71","Diesel","large scale"
"2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","00039156","PERLA 2","2005002809","PESQUERA PERLA DE SALINA CRUZ SA DE CV","20031487236","CAMARÓN",0,0,0,1,0,0,"OAXACA","SALINA CRUZ",1985,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",22.4,6500,3.9,3,25,1,1,0,3,220,365,272.1805,FALSE,365,10.8055722873817,"CUMMINS","KT1150","Diesel","large scale"
"2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00025791","RENE","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26020050234","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1958,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",20.45,6.1,3.23,3,58.6,1,1,1,4,220,402,299.7714,FALSE,402,10.8380754339523,"CATERPILLAR","0","Diesel","large scale"
"2604008447","PESQUERA SAGUI SA DE CV","00022541","VERONICA","2604008447","PESQUERA SAGUI SA DE CV","26020128234","CAMARÓN | OTRAS",0,0,0,1,0,0,"SONORA","GUAYMAS",1979,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",21.22,6.6,3.6,3,20,1,1,0,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","3412","Diesel","large scale"
"2604008447","PESQUERA SAGUI SA DE CV","00022533","TALISMAN","2604008447","PESQUERA SAGUI SA DE CV","26020129233","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1980,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",19.28,6.05,3.5,3,20,1,1,0,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","0","Diesel","large scale"
"2604008447","PESQUERA SAGUI SA DE CV","00020248","CARLOS M","2604008447","PESQUERA SAGUI SA DE CV","26020130237","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1974,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",22.75,6.9,3.5,3,20,1,1,0,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","0","Diesel","large scale"
"2604011409","GEOMAR PESQUERA SA DE CV","00024166","GEOMAR V (PAVITO III)","2604011409","GEOMAR PESQUERA SA DE CV","2602013123-8","CAMARÓN | ESCAMA",1,0,0,1,0,0,"SONORA","GUAYMAS",1978,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",20.74,5.93,2.86,2,15,1,1,1,3,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","3408","Diesel","large scale"
"2604009809","PESQUERA MAUCER SA DE CV","00038810","CAPITAN CORTEZ","2604009809","PESQUERA MAUCER SA DE CV","26020142231","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1980,"ACERO","HIELO","ARRASTRE","VIDEOSONDA","COMERCIAL",23,6,0,2,0,1,1,0,1,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","0","Diesel","large scale"
"2604011409","GEOMAR PESQUERA SA DE CV","00023226","GEOMAR IV","2604011409","GEOMAR PESQUERA SA DE CV","26020220235","CAMARÓN | ESCAMA",1,0,0,1,0,0,"SONORA","GUAYMAS",1974,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",22.2,6,0,2,0,1,1,1,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","0","Diesel","large scale"
"2604008322","PESQUERA CASTA, S.A. DE C.V.","00022475","COCORIT","2604008322","PESQUERA CASTA, S.A. DE C.V.","2602022123-7","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1979,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",22.05,6.2,3.1,4,121.67,1,1,1,3,220,450,335.565,FALSE,450,10.8801545575481,"CATERPILLAR","353","Diesel","large scale"
"2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","00024182","DAGIO","2604009775","PESQUERA BACOCHIBAMPO, S.A. DE C.V.","26020302238","CAMARÓN | TIBURÓN | OTRAS",0,0,1,1,0,0,"SONORA","GUAYMAS",1981,"ACERO","CONGELACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",21.05,6.17,3.14,3,62.2,1,1,4,1,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","D-353","Diesel","large scale"
"2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00024711","L-VII","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020360236","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1979,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",21.94,6.04,3.5,3,28,1,1,0,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","353","Diesel","large scale"
"2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00024067","SELECTA 16","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020367233","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1978,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",22.26,6.04,3.5,3,25,1,1,0,4,220,365,272.1805,FALSE,365,10.8055722873817,"CATERPILLAR","353","Diesel","large scale"
"2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023762","CHUYITO V","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020438233","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1979,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",21.94,6.04,3.5,3,24,1,1,0,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","353","Diesel","large scale"
"2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023515","CHUYITO XXI","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020454235","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1979,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",19.4,5.84,2.92,3,24,1,1,0,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","353","Diesel","large scale"
"2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00023770","CHUYITO VI","2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","26020460235","CAMARÓN",0,0,0,1,0,0,"SONORA","GUAYMAS",1979,"ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL",21.94,6.04,3.5,3,24,1,1,0,4,220,425,316.9225,FALSE,425,10.8582506253683,"CATERPILLAR","353","Diesel","large scale"
